ID,Section Merged,Topic,English Text Problem,English Text Solution,Section,Haochen Database ID
16346,Algebra,linear-graphs-y-equals-mx-plus-c,"Write down an equation of the straight line with gradient –3 and which passes through the point with coordinates (0, 5)
","The equation of a straight line is given in the form y = mx + c, where m is the gradient and c is the y-intercept.
Substitute m = -3 and c = 5 into y = mx + c.

 Gradient in the correct place [1]c = 5 in the correct place [1]",2-algebra,8457dd12-0b23-4eea-ae17-df566d01b075
16285,Algebra,factorising,"Hence, or otherwise, simplify fully ","Method 1Following the ""hence"" (using what was done before), let  and  

[1]
Use the ""difference of two squares"" to factorise 
 
Replace  with  in brackets and  with  in brackets 
 
Expand inside the brackets 

[1]
Collect ""like"" terms 
 
Multiply out the brackets (it may help to write the 6 at the front)
 [1]
Method 2Following the ""or otherwise"", write out the squared brackets as the product of two brackets 
 
Multiply out the two sets of brackets and collect like terms (keeping the results in their own separate brackets) 

[1]
Remove the brackets (by multiplying all terms by -1 in the second bracket) 

[1]
Collect like terms
 [1]
",6-algebra,f727769e-17e7-4102-9c41-444925a0aad0
17114,Algebra,factorising,"Hence, or otherwise, simplify fully ","Method 1Following the ""hence"" (using what was done before), let  and  

[1]
Use the ""difference of two squares"" to factorise 
 
Replace  with  in brackets and  with  in brackets 
 
Expand inside the brackets 

[1]
Collect ""like"" terms 
 
Multiply out the brackets (it may help to write the 6 at the front)
 [1]
Method 2Following the ""or otherwise"", write out the squared brackets as the product of two brackets 
 
Multiply out the two sets of brackets and collect like terms (keeping the results in their own separate brackets) 

[1]
Remove the brackets (by multiplying all terms by -1 in the second bracket) 

[1]
Collect like terms
 [1]
",2-algebra,2e130abb-3ca1-463a-a82b-7e41608409d3
19225,Probability,tree-diagrams,Work out the probability that at least one of the spinners will land on green.,"'At least one green' includes the possibilities 'red, green', 'green, red', and 'green, green'.
You can multiply along the appropriate branches to get each of those individual probabilities (AND rule). Then add them all together to get the total probability.

  [2]1 mark for any one correct product.  1 mark for all three correct products added together.
   [1]0.68 or 68% will also get the mark.
'At least one green' means that 'red, red' didn't happen.So you can also do this (and get the marks) by subtracting the probability for 'red, red' (8/25) from 1.1 - 8/25 = 17/25",5-probability,
19324,Probability,tree-diagrams,Work out the probability that at least one of the spinners will land on green.,"'At least one green' includes the possibilities 'red, green', 'green, red', and 'green, green'.
You can multiply along the appropriate branches to get each of those individual probabilities (AND rule). Then add them all together to get the total probability.

  [2]1 mark for any one correct product.  1 mark for all three correct products added together.
   [1]0.68 or 68% will also get the mark.
'At least one green' means that 'red, red' didn't happen.So you can also do this (and get the marks) by subtracting the probability for 'red, red' (8/25) from 1.1 - 8/25 = 17/25",5-probability,
22292,Statistics,statistics-toolkit,"In fact,
   fewer planes land in winter than in summer   fewer planes land at night than during the day.What does this tell you about Kim’s prediction?Tick one box.
 Her prediction is too low
 Her prediction is too high
 Her prediction could be too low or too high
Give a reason for your answer.
","Consider the first statement. Note that in the UK January is in winter.
Fewer landings in winter would make her prediction too low
Consider the second statement.
Fewer landings at night would make her prediction too high
Both reasons given [1]
Her prediction could be too low or too high [1]Must give reasons for both marks",6-statistics,
19388,Probability,probability-toolkit,"The probability that a spinner will land on blue is 
Rayyan is going to spin the spinner  times.Work out an estimate for the number of times the spinner will land on blue.","We can estimate the number of times the spinner will land on blue by multiplying the number of times Rayyan is going to spin the spinner by the probability that the spinner will land on blue.
280 × 0.4 
[1]
112  [1]",5-probability,
18159,Number and Operations,rounding-estimation-and-bounds,"The length of a roll of ribbon is 30 metres, correct to the nearest half-metre.
A piece of length 5.8 metres, correct to the nearest 10 centimetres, is cut from the roll.
Work out the maximum possible length of ribbon left on the roll.
...................metres ","To find the maximum length of ribbon left on the roll you need to subtract the smallest possible length that is cut from the biggest possible length of the roll.1 m = 100 cm so 10 cm = 0.1 m. The cut length is rounded to the nearest 0.1 m so the lower bound is halfway between 5.7 m and 5.8 m. Subtract half the difference from 5.8 m.The roll length is rounded to the nearest 0.5 m so the upper bound is halfway between 30 m and 30.5 m. Add half the difference to 30 m.
Lower bound for the cut length = 5.8 - 0.05 = 5.75 mUpper bound for the roll length = 30 + 0.25 = 30.25 m
Any correct bound [1]
Subtract the lower bound for the cut length from the upper bound for the roll length.
30.25 - 5.75 = 24.5
[1]
Maximum possible length is 24.5 m [1]
",1-number,
20312,Geometry and Measures,volume-and-surface-area,"Here is a sector,  , of a circle with centre and angle = 

The sector can form the curved surface of a cone by joining to  .

The height of the cone is .The volume of the cone is Work out the value of Give your answer correct to the nearest whole number.
.......................","The formula for the volume of a cone, , is given at the beginning of the paper. Use the formula with the given volume of the cone to find the value of the radius of the base circle.Using the known volume of 1600 cm3 we can write the following equation.

[1]
Divide both sides by 25 and .


Square root both sides.

[1]
The formula for the curved surface area of a cone,  , is given at the beginning of the paper. 
Use Pythagoras' Theorem to find the value of , the slant height of the cone. 

It is a right angled triangle so you can use Pythagoras' Theorem: , where c is the length of the hypotenuse (the slant height) and a and b are the height and the radius. 

[1]
Substitute the values of  and  into the formula for the curved surface area of a cone.

[1]
The area of the sector is equal to the curved surface area of the cone. Use the formula for area of a sector , where the radius of the sector is equal to the slant height of the cone, to find the value of the angle, .

[1]
Rearrange and solve to find .

 [1]Rounded to 3 significant figures107 - 108 allowed",4-geometry-and-measures,
20317,Geometry and Measures,volume-and-surface-area,"Here is a sector,  , of a circle with centre and angle = 

The sector can form the curved surface of a cone by joining to  .

The height of the cone is .The volume of the cone is Work out the value of Give your answer correct to the nearest whole number.
.......................","The formula for the volume of a cone, , is given at the beginning of the paper. Use the formula with the given volume of the cone to find the value of the radius of the base circle.Using the known volume of 1600 cm3 we can write the following equation.

[1]
Divide both sides by 25 and .


Square root both sides.

[1]
The formula for the curved surface area of a cone,  , is given at the beginning of the paper. 
Use Pythagoras' Theorem to find the value of , the slant height of the cone. 

It is a right angled triangle so you can use Pythagoras' Theorem: , where c is the length of the hypotenuse (the slant height) and a and b are the height and the radius. 

[1]
Substitute the values of  and  into the formula for the curved surface area of a cone.

[1]
The area of the sector is equal to the curved surface area of the cone. Use the formula for area of a sector , where the radius of the sector is equal to the slant height of the cone, to find the value of the angle, .

[1]
Rearrange and solve to find .

 [1]Rounded to 3 significant figures107 - 108 allowed",4-geometry-and-measures,
16958,Algebra,real-life-graphs,"i)
Calculate the gradient of the graph in the final 10 seconds of the journey.
[1]
ii)
Describe what this gradient represents.
[2]","i)
Use  or an equivalent method.

gradient = 
Gradient = −3 [1] ii)
Negative gradient on a distance-time graph represents deceleration.
Deceleration in m/s2 [1]
""Deceleration"" or equivalent (such as ""slowing down"") and the units, m/s2, must be stated",2-algebra,4feabb5a-c0a9-4c6c-a763-97fb9af7fa5a
24521,Graphs and Equations,real-life-graphs,"i)
Calculate the gradient of the graph in the final 10 seconds of the journey.
[1]
ii)
Describe what this gradient represents.
[2]","i)
Use  or an equivalent method.

gradient = 
Gradient = −3 [1] ii)
Negative gradient on a distance-time graph represents deceleration.
Deceleration in m/s2 [1]
""Deceleration"" or equivalent (such as ""slowing down"") and the units, m/s2, must be stated",7-graphs-of-equations-and-functions,
21312,Geometry and Measures,area-and-volume-of-similar-shapes,"A and B are similar cuboids.
surface area of A : surface area of B = 16 : 25
Work out volume of A : volume of BCircle your answer.



4 : 5
16 : 25
64 : 125
256 : 625



","If the ratio for the areas of similar shapes is , then the linear ratio (ratio for corresponding lengths) for those shapes is  and the ratio for the volumes of the similar shapes is .
First find the linear ratio by square rooting the area ratio.
 
Next find the volume ratio by cubing the linear ratio.

The third option is correct, 64 : 125 [1]
The first option, ""4 : 5"", is the length ratio.
The second option, ""16 : 25"", is the area (or surface area) ratio.
The fourth option, ""256 : 625"", is the linear ratio to the power of 4; ""44 : 54"". This is not useful for Area & Volume of Similar Shapes questions.",4-geometry-and-measures,
24708,Congruence and Similarity,area-and-volume-of-similar-shapes,"A and B are similar cuboids.
surface area of A : surface area of B = 16 : 25
Work out volume of A : volume of BCircle your answer.



4 : 5
16 : 25
64 : 125
256 : 625



","If the ratio for the areas of similar shapes is , then the linear ratio (ratio for corresponding lengths) for those shapes is  and the ratio for the volumes of the similar shapes is .
First find the linear ratio by square rooting the area ratio.
 
Next find the volume ratio by cubing the linear ratio.

The third option is correct, 64 : 125 [1]
The first option, ""4 : 5"", is the length ratio.
The second option, ""16 : 25"", is the area (or surface area) ratio.
The fourth option, ""256 : 625"", is the linear ratio to the power of 4; ""44 : 54"". This is not useful for Area & Volume of Similar Shapes questions.",9-congruence-and-similarity,
22228,Statistics,cumulative-frequency-and-box-plots,"Tom recorded the times, in seconds, some boys took to complete an obstacle course.He drew this box plot for his results.

Tom also recorded the times some girls took to complete the obstacle course.Here are the times, in seconds, for the girls.



99
101
103
106
108
109
110
110
111
112


113
114
115
115
117
120
124
125
132
 




Compare the distribution of the times for the boys with the distribution of the times for the girls.","Compare a measure of average - so in this case medians.Compare a measure of spread - so either range or interquartile range which are both easy to calculate.We've used interquartile range (IQR).First work out the median and quartiles for the girls' data.  There are 19 girls so the median is the 10th value, the lower quartile is the 5th value and the upper quartile the 15th value



99
101
103
106
108
109
110
110
111
112


113
114
115
115
117
120
124
125
132
 



 Median for boys = 115Median for girls = 112
One correct median [1]
IQR for boys = 120 - 103 = 17IQR for girls = 117 - 108 = 9
One correct IQR (or range) [1]
Make sure you answer in the context of the question - so in this case it is about the time to complete an obstacle course.
The median time taken by the boys (115 seconds) is higher than that for the girls (112 seconds) so on average the boys were slower at completing the obstacle course [1]The interquartile range for the boys (17 seconds) is higher than that for girls (9 seconds) showing that the times taken by the boys to complete the obstacle course were more varied than the girls [1]
You could draw a box plot for the  girls' data if you find it easier to compare the data but that may take longer.",6-statistics,
22353,Statistics,cumulative-frequency-and-box-plots,"Tom recorded the times, in seconds, some boys took to complete an obstacle course.He drew this box plot for his results.

Tom also recorded the times some girls took to complete the obstacle course.Here are the times, in seconds, for the girls.



99
101
103
106
108
109
110
110
111
112


113
114
115
115
117
120
124
125
132
 




Compare the distribution of the times for the boys with the distribution of the times for the girls.","Compare a measure of average - so in this case medians.Compare a measure of spread - so either range or interquartile range which are both easy to calculate.We've used interquartile range (IQR).First work out the median and quartiles for the girls' data.  There are 19 girls so the median is the 10th value, the lower quartile is the 5th value and the upper quartile the 15th value



99
101
103
106
108
109
110
110
111
112


113
114
115
115
117
120
124
125
132
 



 Median for boys = 115Median for girls = 112
One correct median [1]
IQR for boys = 120 - 103 = 17IQR for girls = 117 - 108 = 9
One correct IQR (or range) [1]
Make sure you answer in the context of the question - so in this case it is about the time to complete an obstacle course.
The median time taken by the boys (115 seconds) is higher than that for the girls (112 seconds) so on average the boys were slower at completing the obstacle course [1]The interquartile range for the boys (17 seconds) is higher than that for girls (9 seconds) showing that the times taken by the boys to complete the obstacle course were more varied than the girls [1]
You could draw a box plot for the  girls' data if you find it easier to compare the data but that may take longer.",6-statistics,
22387,Statistics,cumulative-frequency-and-box-plots,"On the grid, draw a cumulative frequency graph for your table.
","Cumulative frequencies are plotted at the end of the class intervals.So in these case we would plot the points (30, 4), (40, 20), (50, 56), (60, 80), (70, 94) and (80, 100).Also plot a point at (20, 0) and join all points with a smooth curve. 
At least five points plotted correctly [1]Fully correctly and points joined [1]",6-statistics,
22759,Statistics,cumulative-frequency-and-box-plots,"On the grid, draw a cumulative frequency graph for your table.
","Cumulative frequencies are plotted at the end of the class intervals.So in these case we would plot the points (30, 4), (40, 20), (50, 56), (60, 80), (70, 94) and (80, 100).Also plot a point at (20, 0) and join all points with a smooth curve. 
At least five points plotted correctly [1]Fully correctly and points joined [1]",6-statistics,
23283,"Ratio, Proportion, and Rates of Change",standard-and-compound-units,"One sheet of A3 card has area  m2.The card has a mass of  g per m2.
Work out the total mass of  sheets of A3 card.","Every 1 m2 has a mass of 160 g.So multiply 160 by 1/8 to find the mass of 1 sheet of card.
      
[1]
Now multiply that by 25 to find the mass of 25 sheets. 
      

500 g  [3]
1 mark for multiplying by 25 to get the answer.  1 mark for '500'.  1 mark for the correct units.You will also get full marks if you convert that to 0.5 kg.",3-ratio-proportion-and-rates-of-change,
23677,"Ratio, Proportion, and Rates of Change",standard-and-compound-units,"One sheet of A3 card has area  m2.The card has a mass of  g per m2.
Work out the total mass of  sheets of A3 card.","Every 1 m2 has a mass of 160 g.So multiply 160 by 1/8 to find the mass of 1 sheet of card.
      
[1]
Now multiply that by 25 to find the mass of 25 sheets. 
      

500 g  [3]
1 mark for multiplying by 25 to get the answer.  1 mark for '500'.  1 mark for the correct units.You will also get full marks if you convert that to 0.5 kg.",3-ratio-proportion-and-rates-of-change,
22432,Statistics,scatter-graphs-and-correlation,"Katie measured the length and the width of each of 10 pine cones from the same tree.She used her results to draw this scatter graph.

Describe one improvement Katie can make to her scatter graph.","There is a lot of blank space on Katie's graph with all the points bunched in a small area towards the 'top right' of the graph.This will make it hard to spot any correlation, and possible outliers, within the data.
Katie should limit the range of both her axes, e.g. the length axis needs only to run from 4 to 6 (cm) and the width axis needs only to run from 3 to 5 (cm) [1]",6-statistics,
22558,Statistics,scatter-graphs-and-correlation,"Katie measured the length and the width of each of 10 pine cones from the same tree.She used her results to draw this scatter graph.

Describe one improvement Katie can make to her scatter graph.","There is a lot of blank space on Katie's graph with all the points bunched in a small area towards the 'top right' of the graph.This will make it hard to spot any correlation, and possible outliers, within the data.
Katie should limit the range of both her axes, e.g. the length axis needs only to run from 4 to 6 (cm) and the width axis needs only to run from 3 to 5 (cm) [1]",6-statistics,
19110,Probability,tree-diagrams,Work out the probability that Finlay loses at least one match.,"Multiply the probabilities for 'win AND lose', 'lose AND win', and 'lose AND lose'. But in combined probabilities 'or' usually means 'add'.So add those products together to get 'win AND lose' OR 'lose AND win' OR 'lose AND lose'.

[1]
0.51  [1]
'Loses at least one match' is the same as 'didn't win both matches'.  So you can also get this by subtracting the answer to part (a) from 1.  I.e., 1 - 0.49 = 0.51.",5-probability,
19467,Probability,tree-diagrams,Work out the probability that Finlay loses at least one match.,"Multiply the probabilities for 'win AND lose', 'lose AND win', and 'lose AND lose'. But in combined probabilities 'or' usually means 'add'.So add those products together to get 'win AND lose' OR 'lose AND win' OR 'lose AND lose'.

[1]
0.51  [1]
'Loses at least one match' is the same as 'didn't win both matches'.  So you can also get this by subtracting the answer to part (a) from 1.  I.e., 1 - 0.49 = 0.51.",5-probability,
16975,Algebra,factorising,Factorise        ,"The ""difference of two squares"" says that a2 - b2 factorises to (a + b)(a - b)
 [1]",2-algebra,20725c6a-f81a-42f9-9b2b-7a6856eb1f1b
17064,Algebra,factorising,Factorise        ,"The ""difference of two squares"" says that a2 - b2 factorises to (a + b)(a - b)
 [1]",2-algebra,739eabc8-c9df-4597-b8d9-972a8584b894
23696,"Ratio, Proportion, and Rates of Change",ratio-toolkit,"There are some red counters and some yellow counters in a bag in the ratio 1 : 5There are 20 yellow counters in the bag.
Work out the number of red counters in the bag.","The 'Yellow' number in the ratio is 5, so the 20 yellow counters represent 5 of the 'parts' that the ratio divides the counters into.Divide 20 by 5 to find the size of one part.
      
[1]
The red counters represent 1 part (the 'Red' number from the ratio).Multiply 4 by 1 to find the number of red counters.

4 red counters  [1]",3-ratio-proportion-and-rates-of-change,
24111,"Ratio, Proportion, and Rates of Change",ratio-toolkit,"There are some red counters and some yellow counters in a bag in the ratio 1 : 5There are 20 yellow counters in the bag.
Work out the number of red counters in the bag.","The 'Yellow' number in the ratio is 5, so the 20 yellow counters represent 5 of the 'parts' that the ratio divides the counters into.Divide 20 by 5 to find the size of one part.
      
[1]
The red counters represent 1 part (the 'Red' number from the ratio).Multiply 4 by 1 to find the number of red counters.

4 red counters  [1]",5-ratio-proportion-and-rates-of-change,
19099,Probability,probability-toolkit,"There are only blue counters, green counters, red counters and yellow counters in a bag.
Olga is going to take at random a counter from the bag.
The table shows the probability that Olga will take a blue counter and the probability that she will take a yellow counter.



Colour
blue
green
red
yellow


Probability
0.4
 
 
0.15



The number of red counters in the bag is 4 times the number of green counters in the bag.
Complete the table.","We can use the fact that the total of all the probabilities must sum to 1. The ratio of the probabilities for red and green will be the same as the ratio of red counters to green counters (i.e., 4:1).So if the probability of taking a green counter is 'p', then the probability of taking a red counter will be '4p'.Set up an equation with all the probabilities:
                          
[1]
Solve the equation to find the values of p and 4p:


[1]

  [1]",5-probability,
19101,Probability,probability-toolkit,"There are only blue counters, green counters, red counters and yellow counters in a bag.
Olga is going to take at random a counter from the bag.
The table shows the probability that Olga will take a blue counter and the probability that she will take a yellow counter.



Colour
blue
green
red
yellow


Probability
0.4
 
 
0.15



The number of red counters in the bag is 4 times the number of green counters in the bag.
Complete the table.","We can use the fact that the total of all the probabilities must sum to 1. The ratio of the probabilities for red and green will be the same as the ratio of red counters to green counters (i.e., 4:1).So if the probability of taking a green counter is 'p', then the probability of taking a red counter will be '4p'.Set up an equation with all the probabilities:
                          
[1]
Solve the equation to find the values of p and 4p:


[1]

  [1]",5-probability,
17815,Number and Operations,using-a-calculator,Write your answer to part (a) correct to  decimal places.,"Write out the number with its first two decimal digits 
2.75 
Check if the 2nd decimal digit needs rounding up (by seeing if the 3rd decimal digit is 5 or more) 
2.7566 ≥ 5 so 5 rounds up to 6

2.76 [1]",1-number,
23760,Approximation and Estimation,using-a-calculator,Write your answer to part (a) correct to  decimal places.,"Write out the number with its first two decimal digits 
2.75 
Check if the 2nd decimal digit needs rounding up (by seeing if the 3rd decimal digit is 5 or more) 
2.7566 ≥ 5 so 5 rounds up to 6

2.76 [1]",4-approximation-and-estimation,
17954,Number and Operations,simple-and-compound-interest-growth-and-decay,"This notice was in a car magazine.





Most new cars lose more than half of their value in the first three years




Paul bought a new car.The value of the car was £15 000
In the first year, the value of the car depreciated by 23%.After the first year, the value of the car depreciated by 18% each year.
Work out if Paul's car lost more than half of its value by the end of three years.","Find the cost that Paul's car ""should"" be after 3 years, if it halves in value
£15000 ÷ 2 = £7500
[1]
Now we can calculate the actual value of the carIn the first year it depreciated by 23%, so is now 77% of its original price (100-23=77)
0.77 × £15000 = £11550
[1]
After the first year, it depreciates by 18% each year, for the remaining two yearsThis means each year, it will be 82% of the value of the previous year
£11550 × 0.822 = £7766.22
[1]
Compare the two values
£7766.22 > £7500 
So the car has lost less than half its value after 3 years [1]",1-number,
24020,"Ratio, Proportion, and Rates of Change",simple-and-compound-interest-growth-and-decay,"This notice was in a car magazine.





Most new cars lose more than half of their value in the first three years




Paul bought a new car.The value of the car was £15 000
In the first year, the value of the car depreciated by 23%.After the first year, the value of the car depreciated by 18% each year.
Work out if Paul's car lost more than half of its value by the end of three years.","Find the cost that Paul's car ""should"" be after 3 years, if it halves in value
£15000 ÷ 2 = £7500
[1]
Now we can calculate the actual value of the carIn the first year it depreciated by 23%, so is now 77% of its original price (100-23=77)
0.77 × £15000 = £11550
[1]
After the first year, it depreciates by 18% each year, for the remaining two yearsThis means each year, it will be 82% of the value of the previous year
£11550 × 0.822 = £7766.22
[1]
Compare the two values
£7766.22 > £7500 
So the car has lost less than half its value after 3 years [1]",5-ratio-proportion-and-rates-of-change,
17058,Algebra,real-life-graphs,Explain what this gradient represents.,"In any graph, the gradient represents the rate of change of the vertical axis variable compared to the horizontal axis variable
rate of change of volume of liquid [1]similar answers are accepted, e.g. ""rate at which volume of liquid is changing""",2-algebra,30ad1693-c24f-4936-801d-e2dfec96d29e
24461,Graphs and Equations,real-life-graphs,Explain what this gradient represents.,"In any graph, the gradient represents the rate of change of the vertical axis variable compared to the horizontal axis variable
rate of change of volume of liquid [1]similar answers are accepted, e.g. ""rate at which volume of liquid is changing""",7-graphs-of-equations-and-functions,
16884,Algebra,factorising,"Simplify fully  
","Look at the numerator of the original expression.
List the factor pairs of the constant term, 14.

Determine which factor pair adds up the coefficient of the  term, 9.

Use the factor pair to factorise the numerator into two brackets.

[1]
Look at the denominator of the original expression.
Notice that there is no  term and that the two terms that are there are both square numbers.

Use these roots to factorise the denominator using the difference of two squares.

[1]
Write out the original expression with the numerator and denominator both fully factorised.

Can out the common factor of  leaving a fully simplified expression.
 [1]
",2-algebra,8973f1a4-f40a-49d6-8f26-4d3ec1dc0158
16116,Algebra,real-life-graphs,"The graph shows the volume of liquid ( litres) in a container at time  seconds.

Find the gradient of the graph.","Pick two points on the line, taking care with the scale on the Depth axis in particular (5 small squares represents 30 cm) It is convenient to pick the endpoints, (0, 4) and (8, 16)
Find the gradient between these two points using  or 


using or the gradient formula with two points on the line [1]
Answer = 1.5 [1]",2-algebra,c0c5f341-05db-48b1-8c1b-c19f9f1903cd
24185,Graphs and Equations,real-life-graphs,"The graph shows the volume of liquid ( litres) in a container at time  seconds.

Find the gradient of the graph.","Pick two points on the line, taking care with the scale on the Depth axis in particular (5 small squares represents 30 cm) It is convenient to pick the endpoints, (0, 4) and (8, 16)
Find the gradient between these two points using  or 


using or the gradient formula with two points on the line [1]
Answer = 1.5 [1]",7-graphs-of-equations-and-functions,
24240,Graphs and Equations,linear-graphs-y-equals-mx-plus-c,"A straight line passes through the point (0, 6) and is perpendicular to  y = 4x − 5.
Find the equation of this line, giving your answer in the form y = mx + c.","The gradient of y = 4x − 5 is 4. 
The gradients of perpendicular lines are negative reciprocals so the gradient of the line perpendicular to y = 4x − 5 is

correct gradient [1]
The line therefore takes the form . 
In addition it passes through (0, 6). (0, 6) is on the -axis; it is the -intercept! Therefore;
c = 6
correct c value [1]
Now write the equation
 [1]",7-graphs-of-equations-and-functions,
21549,Geometry and Measures,transformations,"Here is a shape drawn on a grid of squares.

On the grid, translate shape  by the vector 
Label the new shape .","A translation by  moves the shape a units to the right and b units up 
Move the shape 10 units to the right and 8 units upLabel the new shape R


[1]",4-geometry-and-measures,
24797,Congruence and Similarity,transformations,"Here is a shape drawn on a grid of squares.

On the grid, translate shape  by the vector 
Label the new shape .","A translation by  moves the shape a units to the right and b units up 
Move the shape 10 units to the right and 8 units upLabel the new shape R


[1]",9-congruence-and-similarity,
19341,Probability,probability-toolkit,"A farmer uses this probability to calculate how many carrot seeds he should plant to grow 10000 carrots.
(i)
How many seeds should he plant?
....................... seeds [2]
(ii)
Explain why it may not be sensible for the farmer to use Jeat’s experimental probability to calculate the number of seeds he should plant.
[1]","(i)
 of an amount of carrots needs to equal 10 000Call the amount x and form an equation 
 
Multiply both sides by 7 and divide both sides by 3 

[1]
Work out this value 
 
Round this to the nearest whole number, as x is a number of carrots (so can't be a decimal) 
23 333 carrots [1]
whole numbers from 23 000 to 23 334 (inclusive) are accepted(to guarantee at least 10 000 whole carrots, 23 334 carrots are needed as 23 333 are not quite enough) (ii)
Comment on the fact that Jeat's garden and the farm are different environments or that Jeat's sample is too small to make big decisions from 
The growing conditions on the farm may be different to the garden [1]
Accept also ""Jeat's sample is too small""References to part (b)(i) not being an integer are not accepted",5-probability,
19551,Probability,probability-toolkit,"A farmer uses this probability to calculate how many carrot seeds he should plant to grow 10000 carrots.
(i)
How many seeds should he plant?
....................... seeds [2]
(ii)
Explain why it may not be sensible for the farmer to use Jeat’s experimental probability to calculate the number of seeds he should plant.
[1]","(i)
 of an amount of carrots needs to equal 10 000Call the amount x and form an equation 
 
Multiply both sides by 7 and divide both sides by 3 

[1]
Work out this value 
 
Round this to the nearest whole number, as x is a number of carrots (so can't be a decimal) 
23 333 carrots [1]
whole numbers from 23 000 to 23 334 (inclusive) are accepted(to guarantee at least 10 000 whole carrots, 23 334 carrots are needed as 23 333 are not quite enough) (ii)
Comment on the fact that Jeat's garden and the farm are different environments or that Jeat's sample is too small to make big decisions from 
The growing conditions on the farm may be different to the garden [1]
Accept also ""Jeat's sample is too small""References to part (b)(i) not being an integer are not accepted",5-probability,
23343,"Ratio, Proportion, and Rates of Change",ratio-problem-solving," is two thirds of .

Work out the ratio 
Give your answer in its simplest form where  and  are integers.","Start by turning 'b is two thirds of c ' into a ratio.

Now do the same for a and c.

[1]This mark is for either a correct b : c ratio OR a correct a : c ratio.
c appears in both ratios, so we can use that to connect them into a single three-term ratio.To do that, the c  numbers need to be the same in both ratios.So 'scale up' the b : c  ratio by a factor of 5, and scale up the a : c  ratio by a factor of 3.

[1]
Finally, connect those into a single three-term ratio.
a : b : c = 12 : 10 : 15  [1]
",3-ratio-proportion-and-rates-of-change,
24039,"Ratio, Proportion, and Rates of Change",ratio-problem-solving," is two thirds of .

Work out the ratio 
Give your answer in its simplest form where  and  are integers.","Start by turning 'b is two thirds of c ' into a ratio.

Now do the same for a and c.

[1]This mark is for either a correct b : c ratio OR a correct a : c ratio.
c appears in both ratios, so we can use that to connect them into a single three-term ratio.To do that, the c  numbers need to be the same in both ratios.So 'scale up' the b : c  ratio by a factor of 5, and scale up the a : c  ratio by a factor of 3.

[1]
Finally, connect those into a single three-term ratio.
a : b : c = 12 : 10 : 15  [1]
",5-ratio-proportion-and-rates-of-change,
24500,Graphs and Equations,estimating-gradients-and-areas-under-graphs,"Leo runs for 12 seconds.
The graph shows his speed.

Show that the distance he runs is less than 67.5 metres.","The distance travelled is the total area under the graph. 
The graph can be split up into three sections, from 0 - 5 seconds, from 5 - 9 seconds and from 9 - 12 seconds.
Draw lines onto the diagram to show this. 

Find the area under the graph from 0 - 5 seconds using the formula for the area of a triangle
 
[1]
Find the area under the graph from 5 - 9 seconds using the formula for the area of a trapezium.
The area of a trapezium is given below 

 Find the area of the trapezium (section B) on the graph (by substituting in a = 8, b = 9 and h  = 9 - 5 = 4) 

[1] 
The area of section 3 cannot be found exactly as the speed is not decreasing at a constant rate here, meaning that the graph is not a straight line.For the best estimate of the area, divide the area under the graph from 9 - 12 seconds into 3 trapeziums, find their areas and add them together.
Divide the area of section C into three trapeziums from 9 - 10 seconds, 10 - 11 seconds and 11 -12 seconds and find their areas separately. Each trapezium will have a height of just 1 second. Read off the values for a and b from the graph for each part separately.

[1] 
Add all the areas together

[1]
This is less than 67.5.
Using trapeziums of height 1 second under the curve gives an estimate for the distance of 65.1 metres which is less than 67.5 metres.  [1]",7-graphs-of-equations-and-functions,
17466,Number and Operations,surds,Write     in the form  .,"Write the expression out in full as a pair of brackets which are multiplied

Expand the pair of brackets

[1]
Simplify, remember that 

 [2]Mark for each correct term",1-number,
18701,Algebra,surds,Write     in the form  .,"Write the expression out in full as a pair of brackets which are multiplied

Expand the pair of brackets

[1]
Simplify, remember that 

 [2]Mark for each correct term",3-indices-and-surds,
23419,"Ratio, Proportion, and Rates of Change",standard-and-compound-units,"Change a speed of 50 metres per second to a speed in kilometres per hour.
.......................... kilometres per hour","Convert each unit separately.There are 60 seconds in a minute. Multiply by 60 to find how many metres are travelled in a minute.

[1]
There are 60 minutes in an hour. Multiply by 60 to find how many metres are travelled in an hour.

There are 1000 metres in a kilometre. Divide by 1000 to find how many kilometres are travelled in an hour.

[1]
 [1]",3-ratio-proportion-and-rates-of-change,
15163,Algebra,real-life-graphs,"From 10.45 am to 11 am, Bradley cycled at an average speed of 18 km/h.
Work out the distance Bradley cycled from 10.45 am to 11 am.","Speed = distance / time (you can use the units ""km/h"" → ""distance/time"" to remember this), so distance = speed × time
Bradley cycled at 18 km/h for 15 minutes. Convert 15 minutes to decimal hours as the speed is in kilometres per hour  
15 minutes = 0.25 hours
Now multiply the speed by the time to find the distance
distance = 18 × 0.25
[1]
distance = 4.5 km [1]",2-algebra,bb7648df-4cb5-4bea-b494-7a0c02537d9c
24549,Graphs and Equations,real-life-graphs,"From 10.45 am to 11 am, Bradley cycled at an average speed of 18 km/h.
Work out the distance Bradley cycled from 10.45 am to 11 am.","Speed = distance / time (you can use the units ""km/h"" → ""distance/time"" to remember this), so distance = speed × time
Bradley cycled at 18 km/h for 15 minutes. Convert 15 minutes to decimal hours as the speed is in kilometres per hour  
15 minutes = 0.25 hours
Now multiply the speed by the time to find the distance
distance = 18 × 0.25
[1]
distance = 4.5 km [1]",7-graphs-of-equations-and-functions,
