Section Merged,Lemma,Occurrences in Section Merged,Unique Topics in Section Merged,POS Tags
Statistics,race,10,3,NOUN
Statistics,rainfall,1,1,NOUN
Statistics,raise,6,1,VERB
Statistics,random,22,4,ADJ
Statistics,range,55,3,"NOUN, VERB"
Statistics,ratio,8,3,NOUN
Statistics,read,2,1,VERB
Statistics,reason,32,3,NOUN
Statistics,reasoning,3,1,NOUN
Statistics,receive,4,2,VERB
Statistics,record,52,5,"NOUN, VERB"
Statistics,relationship,9,2,NOUN
Statistics,reliable,3,2,ADJ
Statistics,reliable?explain,1,1,VERB
Statistics,remain,4,2,VERB
Statistics,rent,3,1,NOUN
Statistics,rent(£,1,1,PROPN
Statistics,reply,1,1,NOUN
Statistics,represent,29,5,VERB
Statistics,rest,1,1,NOUN
Statistics,restaurant,2,1,NOUN
Statistics,result,56,5,"NOUN, VERB"
Statistics,resultsthe,2,1,PROPN
Statistics,revise,2,1,VERB
Statistics,right,3,2,"ADJ, ADV"
Statistics,right?You,2,2,PROPN
Statistics,ring,1,1,VERB
Statistics,rise,1,1,VERB
Statistics,road,1,1,NOUN
Statistics,rowing,4,2,NOUN
Statistics,run,13,2,"NOUN, VERB"
Statistics,runner,9,2,NOUN
Statistics,s,1,1,VERB
Statistics,salary,6,2,NOUN
Statistics,sale,3,3,NOUN
Statistics,same,29,3,ADJ
Statistics,sample,22,4,"NOUN, VERB"
Statistics,say,40,5,VERB
Statistics,says?give,1,1,VERB
Statistics,scale,2,1,NOUN
Statistics,scatter,84,1,"NOUN, VERB"
Statistics,school,11,3,NOUN
Statistics,science,5,1,NOUN
Statistics,score,40,4,"NOUN, VERB"
Statistics,scoring,1,1,NOUN
Statistics,seasonal,1,1,ADJ
Statistics,second,15,4,"ADJ, NOUN"
Statistics,sector,1,1,NOUN
Statistics,see,3,2,VERB
Statistics,select,12,2,VERB
Statistics,sell,25,5,VERB
Statistics,send,3,2,VERB
Statistics,series,10,2,NOUN
Statistics,serve,5,2,VERB
Statistics,service,1,1,NOUN
Statistics,set,4,2,"NOUN, VERB"
Statistics,shoe,3,1,NOUN
Statistics,shop,17,3,NOUN
Statistics,shopping,2,1,NOUN
Statistics,short,2,1,ADJ
Statistics,show,239,5,"NOUN, VERB"
Statistics,significant,4,2,ADJ
Statistics,silver,1,1,ADJ
Statistics,simple,1,1,ADJ
Statistics,single,1,1,ADJ
Statistics,sit,11,3,VERB
Statistics,site,1,1,NOUN
Statistics,situation?tick,2,1,NOUN
Statistics,size,16,2,NOUN
Statistics,small,7,2,ADJ
Statistics,so,1,1,ADV
Statistics,social,4,2,ADJ
Statistics,south,1,1,NOUN
Statistics,spanish,2,1,ADJ
Statistics,speed,19,5,NOUN
Statistics,speed(s,2,1,VERB
Statistics,spelling,3,1,NOUN
Statistics,spend,25,5,VERB
Statistics,spending,1,1,NOUN
Statistics,spent(£A,1,1,PROPN
Statistics,sponsor,2,1,VERB
Statistics,sport,2,2,NOUN
Statistics,spread,3,1,ADJ
Statistics,squad,2,1,NOUN
Statistics,stage,1,1,NOUN
Statistics,standard,1,1,ADJ
Statistics,startling,2,1,NOUN
Statistics,state,3,2,VERB
Statistics,statement,7,3,NOUN
Statistics,statement?explain,1,1,ADJ
Statistics,station,6,2,NOUN
Statistics,stem,11,2,NOUN
Statistics,store,1,1,NOUN
Statistics,street,1,1,NOUN
Statistics,strength,2,1,NOUN
Statistics,student,107,5,NOUN
Statistics,study,1,1,NOUN
Statistics,such,1,1,ADJ
Statistics,suggest,1,1,VERB
Statistics,suitable,1,1,ADJ
Statistics,summarise,11,4,VERB
Statistics,summer,4,1,NOUN
Statistics,sunshine,3,1,NOUN
Statistics,supermarket,7,2,NOUN
Statistics,support,9,3,"NOUN, VERB"
Statistics,survey,3,2,NOUN
Statistics,sweet,6,2,NOUN
Statistics,swim,4,1,"NOUN, VERB"
Statistics,swimmer,4,1,NOUN
Statistics,swimming,3,2,NOUN
Statistics,t,8,3,"NOUN, PROPN"
Statistics,table,146,5,NOUN
Statistics,take,91,5,VERB
Statistics,tall,2,1,ADJ
Statistics,tap,1,1,NOUN
Statistics,target,1,1,NOUN
Statistics,target?you,1,1,NOUN
Statistics,task,1,1,NOUN
Statistics,teacher,3,1,NOUN
Statistics,team,5,2,NOUN
Statistics,tell,3,1,VERB
Statistics,temperature,11,2,NOUN
Statistics,temperature(,1,1,NOUN
Statistics,tend,1,1,VERB
Statistics,tennis,2,1,NOUN
Statistics,test,63,4,NOUN
Statistics,thegeometry,3,1,ADJ
Statistics,theme,1,1,NOUN
Statistics,then,1,1,ADV
Statistics,there,1,1,ADV
Statistics,thing,4,1,NOUN
Statistics,think,4,1,VERB
Statistics,thousand,9,3,NOUN
Statistics,tick,1,1,VERB
Statistics,time,108,5,NOUN
Statistics,tin,2,1,NOUN
Statistics,tomato,10,3,NOUN
Statistics,too,2,1,ADV
Statistics,top,2,1,ADJ
Statistics,total,30,5,"ADJ, NOUN"
Statistics,tourist,2,2,NOUN
Statistics,town,5,3,NOUN
Statistics,train,8,2,NOUN
Statistics,travel,26,4,"NOUN, VERB"
Statistics,tree,13,4,NOUN
Statistics,trend,2,1,NOUN
Statistics,trip,2,1,NOUN
Statistics,triple,2,1,ADJ
Statistics,true,1,1,ADJ
Statistics,true?Tick,2,1,PROPN
Statistics,trunk,2,1,NOUN
Statistics,tv,3,2,NOUN
Statistics,type,31,2,NOUN
Statistics,uk.she,2,1,NOUN
Statistics,umbrella,2,1,NOUN
Statistics,underestimate,1,1,VERB
Statistics,ungrouped,1,1,ADJ
Statistics,unit,6,1,NOUN
Statistics,unlikely,2,1,ADJ
Statistics,unsuitable,2,1,ADJ
Statistics,upper,7,2,ADJ
Statistics,use,112,5,VERB
Statistics,value,27,4,NOUN
Statistics,value(£,2,1,PROPN
Statistics,variation,2,1,NOUN
Statistics,vary,1,1,VERB
Statistics,vehicle,2,1,NOUN
Statistics,village,4,2,NOUN
Statistics,visit,1,1,VERB
Statistics,visitor,5,2,NOUN
Statistics,vote,2,1,VERB
Statistics,voter,2,1,NOUN
Statistics,voucher,1,1,NOUN
Statistics,wage,6,1,NOUN
Statistics,waist,4,1,NOUN
Statistics,wait,11,3,VERB
Statistics,waiting,4,1,NOUN
Statistics,walk,3,2,VERB
Statistics,want,4,3,VERB
Statistics,was?give,2,1,NOUN
Statistics,watch,3,2,VERB
Statistics,water,2,1,NOUN
Statistics,watermelon,2,1,NOUN
Statistics,way,2,1,NOUN
Statistics,weak,1,1,ADJ
Statistics,weatherman,1,1,NOUN
Statistics,website,2,1,NOUN
Statistics,week,13,3,NOUN
Statistics,weekly,6,2,ADJ
Statistics,weigh,11,2,VERB
Statistics,weight,35,4,NOUN
Statistics,well,1,1,ADJ
Statistics,whole,6,1,ADJ
Statistics,width,5,2,NOUN
Statistics,winner,1,1,NOUN
Statistics,winter,2,1,NOUN
Statistics,wish,5,3,VERB
Statistics,woman,13,3,NOUN
Statistics,wood,2,1,NOUN
Statistics,word,1,1,NOUN
Statistics,work,99,5,"NOUN, VERB"
Statistics,worker,16,2,NOUN
Statistics,working,16,4,NOUN
Statistics,write,44,5,VERB
Statistics,wrong,4,1,ADJ
Statistics,year,50,5,NOUN
Statistics,young,2,1,ADJ
Statistics,youspend,1,1,VERB
Statistics,£,12,3,"NOUN, PROPN"
Statistics,°,3,1,"ADJ, NOUN"
Statistics,⩽,5,1,ADJ
Number and Operations,+1,1,1,NOUN
Number and Operations,.Find,2,1,PROPN
Number and Operations,.Give,9,5,PROPN
Number and Operations,.He,1,1,PROPN
Number and Operations,.Show,8,2,PROPN
Number and Operations,.You,4,1,PROPN
Number and Operations,.give,3,1,ADJ
Number and Operations,.on,1,1,ADJ
Number and Operations,.the,1,1,NOUN
Number and Operations,000he,1,1,NOUN
Number and Operations,10–3,1,1,PROPN
Number and Operations,10–4,1,1,PROPN
Number and Operations,125.She,1,1,NOUN
Number and Operations,15%.He,1,1,PROPN
Number and Operations,1st,6,1,ADJ
Number and Operations,2014give,1,1,NOUN
Number and Operations,2017.work,2,1,NOUN
Number and Operations,2017Give,2,1,PROPN
Number and Operations,20?circle,1,1,NOUN
Number and Operations,225He,1,1,NOUN
Number and Operations,425or,1,1,PROPN
Number and Operations,50p,1,1,NOUN
Number and Operations,52×,2,1,NOUN
Number and Operations,5th,1,1,ADJ
Number and Operations,60.She,2,1,NOUN
Number and Operations,60p,1,1,PROPN
Number and Operations,6400.katie,2,1,NOUN
Number and Operations,6total,2,1,ADJ
Number and Operations,=,6,3,NOUN
Number and Operations,A,7,3,PROPN
Number and Operations,ABC,1,1,PROPN
Number and Operations,Absent,1,1,PROPN
Number and Operations,Account,3,1,PROPN
Number and Operations,Acton,1,1,PROPN
Number and Operations,Ahmed,2,1,PROPN
Number and Operations,Alex,2,1,PROPN
Number and Operations,Alfie,1,1,PROPN
Number and Operations,Ali,4,4,PROPN
Number and Operations,Alice,1,1,PROPN
Number and Operations,Amelia,3,1,PROPN
Number and Operations,America,1,1,PROPN
Number and Operations,Amrit,2,1,PROPN
Number and Operations,Andrew,1,1,PROPN
Number and Operations,Anil,1,1,PROPN
Number and Operations,Ann,2,1,PROPN
Number and Operations,April,1,1,PROPN
Number and Operations,Arctic,2,1,PROPN
Number and Operations,Area,1,1,PROPN
Number and Operations,Asha,2,1,PROPN
Number and Operations,Ashton,1,1,PROPN
Number and Operations,Aston,1,1,PROPN
Number and Operations,Atlantic,1,1,PROPN
Number and Operations,Australia,2,1,PROPN
Number and Operations,B,5,3,PROPN
Number and Operations,B.,3,1,PROPN
Number and Operations,Badia,1,1,PROPN
Number and Operations,Bank,1,1,PROPN
Number and Operations,Barnfield,1,1,PROPN
Number and Operations,Barton,1,1,PROPN
Number and Operations,Behnaz,2,1,PROPN
Number and Operations,Ben,3,1,PROPN
Number and Operations,Bethan,2,1,PROPN
Number and Operations,Bill,2,1,PROPN
Number and Operations,Brown,1,1,PROPN
Number and Operations,Calculate,2,1,PROPN
Number and Operations,Carla,1,1,PROPN
Number and Operations,Carlos,1,1,PROPN
Number and Operations,Carmen,2,1,PROPN
Number and Operations,Carol,1,1,PROPN
Number and Operations,Celina,1,1,PROPN
Number and Operations,Charlie,2,1,PROPN
Number and Operations,Cheaptrains,1,1,PROPN
Number and Operations,Cheese,1,1,PROPN
Number and Operations,Circle,21,8,PROPN
Number and Operations,Claire,3,2,PROPN
Number and Operations,Claudine,1,1,PROPN
Number and Operations,Common,4,1,PROPN
Number and Operations,Competitiona,1,1,PROPN
Number and Operations,Complete,2,1,PROPN
Number and Operations,Cost,1,1,PROPN
Number and Operations,Cyclone,1,1,PROPN
Number and Operations,Dan,3,2,PROPN
Number and Operations,David,2,1,PROPN
Number and Operations,Deal,2,2,PROPN
Number and Operations,Derek,3,1,PROPN
Number and Operations,Derrick,2,1,PROPN
Number and Operations,Didsbury,2,1,PROPN
Number and Operations,Digits,2,1,PROPN
Number and Operations,Discount,1,1,PROPN
Number and Operations,Distance,1,1,PROPN
Number and Operations,Distinction,1,1,PROPN
Number and Operations,Earth,2,1,PROPN
Number and Operations,Eccles,2,1,PROPN
Number and Operations,Ed,3,1,PROPN
Number and Operations,Edith,1,1,PROPN
Number and Operations,Edna,1,1,PROPN
Number and Operations,Ellie,2,1,PROPN
Number and Operations,Elsa,2,1,PROPN
Number and Operations,Emergency,2,1,PROPN
Number and Operations,Emily,2,1,PROPN
Number and Operations,Emma,1,1,PROPN
Number and Operations,English,3,2,PROPN
Number and Operations,Eve,2,1,PROPN
Number and Operations,Express,4,2,PROPN
Number and Operations,Factor,4,1,PROPN
Number and Operations,Family,1,1,PROPN
Number and Operations,Fats,1,1,PROPN
Number and Operations,Flavia,1,1,PROPN
Number and Operations,Fluff,2,1,PROPN
Number and Operations,Fred,2,2,PROPN
Number and Operations,Free,2,1,PROPN
Number and Operations,Friday,3,1,PROPN
Number and Operations,Gabi,1,1,PROPN
Number and Operations,Garden,2,1,PROPN
Number and Operations,Gary,2,1,PROPN
Number and Operations,George,1,1,PROPN
Number and Operations,Gladys,2,1,PROPN
Number and Operations,Good,2,1,PROPN
Number and Operations,Greg,1,1,PROPN
Number and Operations,H,1,1,PROPN
Number and Operations,HCF,14,1,PROPN
Number and Operations,Hamish,1,1,PROPN
Number and Operations,Hanif,1,1,PROPN
Number and Operations,Hedge,1,1,PROPN
Number and Operations,Helen,1,1,PROPN
Number and Operations,Highest,4,1,PROPN
Number and Operations,Himari,1,1,PROPN
Number and Operations,Hong,1,1,PROPN
Number and Operations,Hospital,1,1,PROPN
Number and Operations,House,2,1,PROPN
Number and Operations,Hugo,1,1,PROPN
Number and Operations,IO,1,1,PROPN
Number and Operations,Ian,1,1,PROPN
Number and Operations,Ibrar,2,1,PROPN
Number and Operations,Indian,1,1,PROPN
Number and Operations,Insurance,1,1,PROPN
Number and Operations,Interest:3,2,1,PROPN
Number and Operations,Interest:4,2,1,PROPN
Number and Operations,Invest,2,1,PROPN
Number and Operations,Investment,1,1,PROPN
Number and Operations,Item,1,1,PROPN
Number and Operations,Jack,4,2,PROPN
Number and Operations,Jackson,1,1,PROPN
Number and Operations,Jake,2,1,PROPN
Number and Operations,Jamal,1,1,PROPN
Number and Operations,James,1,1,PROPN
Number and Operations,Jan,2,1,PROPN
Number and Operations,January,4,1,PROPN
Number and Operations,Jarek,1,1,PROPN
Number and Operations,Jasmine,3,2,PROPN
Number and Operations,Jean,1,1,PROPN
Number and Operations,Jeff,1,1,PROPN
Number and Operations,Jerry,1,1,PROPN
Number and Operations,Jess,1,1,PROPN
Number and Operations,Jim,1,1,PROPN
Number and Operations,John,4,3,PROPN
Number and Operations,Jon,2,1,PROPN
Number and Operations,Josh,2,1,PROPN
Number and Operations,Juan,2,1,PROPN
Number and Operations,Jules,2,1,PROPN
Number and Operations,Jupiter,2,2,PROPN
Number and Operations,Karen,2,1,PROPN
Number and Operations,Katie,4,2,PROPN
Number and Operations,Katy,3,1,PROPN
Number and Operations,Kay,1,1,PROPN
Number and Operations,Kim,1,1,PROPN
Number and Operations,Kirsty,2,2,PROPN
Number and Operations,Kong,1,1,PROPN
Number and Operations,L,2,1,PROPN
Number and Operations,L.,2,1,PROPN
Number and Operations,LCM,24,1,PROPN
Number and Operations,Lamp,2,1,"NOUN, PROPN"
Number and Operations,Layla,2,1,PROPN
Number and Operations,Liam,2,2,PROPN
Number and Operations,Lijuan,1,1,PROPN
Number and Operations,Lily,3,2,PROPN
Number and Operations,Lin,3,1,PROPN
Number and Operations,Liz,1,1,PROPN
Number and Operations,London,1,1,PROPN
Number and Operations,Lottie,1,1,PROPN
Number and Operations,Lower,1,1,PROPN
Number and Operations,Luck,2,1,PROPN
Number and Operations,Lunch,1,1,PROPN
Number and Operations,Main,1,1,PROPN
Number and Operations,March,1,1,PROPN
Number and Operations,Margaret,1,1,PROPN
Number and Operations,Mariana,2,1,PROPN
Number and Operations,Marie,2,2,PROPN
Number and Operations,Mark,1,1,PROPN
Number and Operations,Mars,1,1,PROPN
Number and Operations,Marta,2,1,PROPN
Number and Operations,Martin,2,2,PROPN
Number and Operations,Mary,1,1,PROPN
Number and Operations,Mason,1,1,PROPN
Number and Operations,Mass,1,1,PROPN
Number and Operations,Mathematics,1,1,PROPN
Number and Operations,Matt,2,1,PROPN
Number and Operations,Matthew,1,1,PROPN
Number and Operations,Max,1,1,PROPN
Number and Operations,May,1,1,PROPN
Number and Operations,Meal,2,2,PROPN
Number and Operations,Mel,1,1,PROPN
Number and Operations,Mercury,2,1,PROPN
Number and Operations,Merit,1,1,PROPN
Number and Operations,Method,1,1,PROPN
Number and Operations,Mia,2,2,PROPN
Number and Operations,Mills,2,1,PROPN
Number and Operations,Mirek,1,1,PROPN
Number and Operations,Miriam,1,1,PROPN
Number and Operations,Mitul,2,1,PROPN
Number and Operations,Monday,1,1,PROPN
Number and Operations,Most,1,1,ADJ
Number and Operations,Mozzarella,1,1,PROPN
Number and Operations,Mr,5,4,PROPN
Number and Operations,Mrs,2,1,PROPN
Number and Operations,Multiple,3,1,PROPN
Number and Operations,Museum,2,1,PROPN
Number and Operations,N,3,2,PROPN
Number and Operations,Nadia,1,1,PROPN
Number and Operations,Naoby,1,1,PROPN
Number and Operations,Nathan,1,1,PROPN
Number and Operations,Nav,2,1,PROPN
Number and Operations,Neil,1,1,PROPN
Number and Operations,Neptune,2,1,PROPN
Number and Operations,Newtons,2,1,PROPN
Number and Operations,Nishat,1,1,PROPN
Number and Operations,Noah,1,1,PROPN
Number and Operations,November,3,2,PROPN
Number and Operations,Number,4,3,PROPN
Number and Operations,Nut,1,1,PROPN
Number and Operations,Ocean,2,1,PROPN
Number and Operations,Olly,2,1,PROPN
Number and Operations,Order,1,1,PROPN
Number and Operations,P,3,2,PROPN
Number and Operations,P.The,1,1,PROPN
Number and Operations,Pacific,2,1,PROPN
Number and Operations,Paddy,1,1,PROPN
Number and Operations,Paper,1,1,PROPN
Number and Operations,Pass,1,1,PROPN
Number and Operations,Patrick,2,1,PROPN
Number and Operations,Paul,1,1,PROPN
Number and Operations,Pauline,1,1,PROPN
Number and Operations,Percentage,1,1,PROPN
Number and Operations,Peter,2,1,PROPN
Number and Operations,Piccadilly,2,1,PROPN
Number and Operations,Planet,1,1,PROPN
Number and Operations,Population,1,1,PROPN
Number and Operations,Pork,1,1,PROPN
Number and Operations,Prawn,1,1,PROPN
Number and Operations,PredictionFor,1,1,PROPN
Number and Operations,Present,1,1,PROPN
Number and Operations,Price,1,1,PROPN
Number and Operations,Q,1,1,PROPN
Number and Operations,Q.,1,1,PROPN
Number and Operations,R,1,1,PROPN
Number and Operations,R.,1,1,PROPN
Number and Operations,Railcard,1,1,PROPN
Number and Operations,Railtickets,1,1,PROPN
Number and Operations,Rationalise,2,1,PROPN
Number and Operations,Renee,1,1,PROPN
Number and Operations,Result,1,1,PROPN
Number and Operations,Ria,1,1,PROPN
Number and Operations,Rita,1,1,PROPN
Number and Operations,Rosie,1,1,PROPN
Number and Operations,Sally,5,3,PROPN
Number and Operations,Sam,2,1,PROPN
Number and Operations,Sanders,1,1,PROPN
Number and Operations,Sarah,2,1,PROPN
Number and Operations,Sasha,1,1,PROPN
Number and Operations,Saturday,2,1,PROPN
Number and Operations,Saturn,2,2,PROPN
Number and Operations,Sean,1,1,PROPN
Number and Operations,Seapron,1,1,PROPN
Number and Operations,Shari,1,1,PROPN
Number and Operations,Shelley,1,1,PROPN
Number and Operations,Show,5,2,PROPN
Number and Operations,Sian,1,1,PROPN
Number and Operations,Simon,3,2,PROPN
Number and Operations,SimplifyCircle,1,1,PROPN
Number and Operations,Smallest,2,1,PROPN
Number and Operations,Southern,1,1,PROPN
Number and Operations,Spanish,2,2,PROPN
Number and Operations,Starter,1,1,PROPN
Number and Operations,State,1,1,PROPN
Number and Operations,Steve,3,2,PROPN
Number and Operations,Sue,1,1,PROPN
Number and Operations,Sun,1,1,PROPN
Number and Operations,Sunday,1,1,PROPN
Number and Operations,Sunil,2,1,PROPN
Number and Operations,Surface,1,1,PROPN
Number and Operations,Sydney,2,1,PROPN
Number and Operations,T,1,1,PROPN
Number and Operations,Tazia,1,1,PROPN
Number and Operations,Team,1,1,PROPN
Number and Operations,Teresa,1,1,PROPN
Number and Operations,Thursday,3,2,PROPN
Number and Operations,Thursday?Show,2,1,PROPN
Number and Operations,Tick,2,1,PROPN
Number and Operations,Tigger,2,1,PROPN
Number and Operations,Toby,1,1,PROPN
Number and Operations,Tom,8,3,PROPN
Number and Operations,Tomato,1,1,PROPN
Number and Operations,Tornado,1,1,PROPN
Number and Operations,Total,2,1,PROPN
Number and Operations,Tracey,2,1,PROPN
Number and Operations,Type,2,1,PROPN
Number and Operations,Unit,2,1,PROPN
Number and Operations,United,1,1,PROPN
Number and Operations,Upper,1,1,PROPN
Number and Operations,Uranus,1,1,PROPN
Number and Operations,Use,3,1,PROPN
Number and Operations,Veale,1,1,PROPN
Number and Operations,Venn,2,1,PROPN
Number and Operations,Venus,3,1,PROPN
Number and Operations,Victor,2,1,PROPN
Number and Operations,Viv,1,1,PROPN
Number and Operations,Vo,1,1,PROPN
Number and Operations,Vt,1,1,PROPN
Number and Operations,Watkins,1,1,PROPN
Number and Operations,Wenford,1,1,PROPN
Number and Operations,Work,6,2,PROPN
Number and Operations,Write,14,4,PROPN
Number and Operations,Year,2,2,PROPN
Number and Operations,Zak,1,1,PROPN
Number and Operations,Zhi,2,1,PROPN
Number and Operations,Zoe,1,1,PROPN
Number and Operations,a,17,6,NOUN
Number and Operations,a.,1,1,NOUN
Number and Operations,able,1,1,ADJ
Number and Operations,accident,2,1,NOUN
Number and Operations,accord,2,1,VERB
Number and Operations,account,25,2,NOUN
Number and Operations,accuracy,3,1,NOUN
Number and Operations,achieve,1,1,VERB
Number and Operations,act,1,1,NOUN
Number and Operations,activity,1,1,NOUN
Number and Operations,actual,3,2,ADJ
Number and Operations,add,10,4,VERB
Number and Operations,adult,2,2,NOUN
Number and Operations,affect,5,3,VERB
Number and Operations,age,2,2,NOUN
Number and Operations,airport,1,1,NOUN
Number and Operations,algebra,11,1,NOUN
Number and Operations,algebraic,2,1,ADJ
Number and Operations,algebraically,6,1,ADV
Number and Operations,alive,2,1,ADJ
Number and Operations,all,1,1,ADV
Number and Operations,allow,2,1,VERB
Number and Operations,already,1,1,ADV
Number and Operations,also,7,3,ADV
Number and Operations,always,2,1,ADV
Number and Operations,am,7,1,NOUN
Number and Operations,amount,21,5,NOUN
Number and Operations,annual,4,1,ADJ
Number and Operations,annum,2,1,NOUN
Number and Operations,answer,189,10,"NOUN, VERB"
Number and Operations,answer?give,1,1,ADJ
Number and Operations,antivirus,1,1,NOUN
Number and Operations,apple,4,2,NOUN
Number and Operations,apply,2,1,VERB
Number and Operations,approximate,2,1,ADJ
Number and Operations,approximately,2,1,ADV
Number and Operations,approximation,8,2,NOUN
Number and Operations,area,5,4,NOUN
Number and Operations,art,2,1,NOUN
Number and Operations,as,7,4,ADV
Number and Operations,ask,1,1,VERB
Number and Operations,assume,6,3,VERB
Number and Operations,assumption,7,4,NOUN
Number and Operations,at,5,3,ADV
Number and Operations,atany,2,1,PROPN
Number and Operations,atom,2,1,NOUN
Number and Operations,attendance,1,1,NOUN
Number and Operations,available,2,1,ADJ
Number and Operations,average,12,4,"ADJ, NOUN"
Number and Operations,away,1,1,ADV
Number and Operations,b,2,2,NOUN
Number and Operations,baby,2,1,NOUN
Number and Operations,back,1,1,ADV
Number and Operations,bag,8,2,NOUN
Number and Operations,bake,2,1,VERB
Number and Operations,baked,2,1,ADJ
Number and Operations,ball,2,1,NOUN
Number and Operations,band,1,1,NOUN
Number and Operations,bank,2,1,NOUN
Number and Operations,bar,2,1,NOUN
Number and Operations,barbecue,2,1,NOUN
Number and Operations,basic,1,1,ADJ
Number and Operations,be,36,8,VERB
Number and Operations,beeven,2,1,PROPN
Number and Operations,begin,1,1,VERB
Number and Operations,beginning,5,2,NOUN
Number and Operations,behow,2,1,VERB
Number and Operations,bell,2,1,NOUN
Number and Operations,below,5,3,ADV
Number and Operations,best?you,1,1,NOUN
Number and Operations,big,2,1,ADJ
Number and Operations,bill,2,1,NOUN
Number and Operations,bind,23,1,VERB
Number and Operations,bird,2,1,NOUN
Number and Operations,birth,1,1,NOUN
Number and Operations,block,1,1,NOUN
Number and Operations,blue,1,1,ADJ
Number and Operations,boat,1,1,NOUN
Number and Operations,book,3,2,NOUN
Number and Operations,booking,1,1,NOUN
Number and Operations,borrow,1,1,VERB
Number and Operations,bottle,6,2,NOUN
Number and Operations,bounce,2,1,VERB
Number and Operations,bound,6,1,NOUN
Number and Operations,box,15,4,NOUN
Number and Operations,boy,6,3,NOUN
Number and Operations,bread,5,3,NOUN
Number and Operations,british,1,1,ADJ
Number and Operations,building,1,1,NOUN
Number and Operations,burger,2,1,NOUN
Number and Operations,bus,3,1,NOUN
Number and Operations,button,1,1,NOUN
Number and Operations,buy,55,6,VERB
Number and Operations,buzzer,2,1,NOUN
Number and Operations,by,1,1,ADV
Number and Operations,c,1,1,NOUN
Number and Operations,cab,1,1,NOUN
Number and Operations,cafe,2,1,NOUN
Number and Operations,cake,5,2,NOUN
Number and Operations,calculate,35,7,VERB
Number and Operations,calculation,5,2,NOUN
Number and Operations,calculator,23,4,NOUN
Number and Operations,campsite,2,1,NOUN
Number and Operations,candle,1,1,NOUN
Number and Operations,car,13,3,NOUN
Number and Operations,caravan,1,1,NOUN
Number and Operations,carbohydrate,2,1,"NOUN, VERB"
Number and Operations,card,8,2,NOUN
Number and Operations,carrot,1,1,NOUN
Number and Operations,carry,1,1,VERB
Number and Operations,carton,4,1,NOUN
Number and Operations,cartons?give,2,1,ADJ
Number and Operations,case,2,1,NOUN
Number and Operations,cat,3,2,NOUN
Number and Operations,cause,1,1,VERB
Number and Operations,cell,4,1,NOUN
Number and Operations,centimetre,2,1,NOUN
Number and Operations,central,1,1,ADJ
Number and Operations,centre,1,1,NOUN
Number and Operations,cereal,1,1,NOUN
Number and Operations,change,2,2,NOUN
Number and Operations,charge,1,1,NOUN
Number and Operations,cheap,3,2,ADJ
Number and Operations,cheaply,1,1,ADV
Number and Operations,cheaptrain,1,1,NOUN
Number and Operations,check,4,2,VERB
Number and Operations,cheese,1,1,NOUN
Number and Operations,cheeseburger,1,1,NOUN
Number and Operations,child,5,3,NOUN
Number and Operations,chime,2,1,"NOUN, VERB"
Number and Operations,chip,1,1,NOUN
Number and Operations,chocolate,4,2,NOUN
Number and Operations,choir,1,1,NOUN
Number and Operations,choose,23,3,VERB
Number and Operations,chop,1,1,VERB
Number and Operations,circle,23,9,"NOUN, VERB"
Number and Operations,circumference,1,1,NOUN
Number and Operations,city,4,2,NOUN
Number and Operations,claim,1,1,VERB
Number and Operations,claim?you,1,1,NOUN
Number and Operations,class,3,1,NOUN
Number and Operations,clear,2,1,ADJ
Number and Operations,clearly,29,5,ADV
Number and Operations,climb,1,1,VERB
Number and Operations,clock,1,1,NOUN
Number and Operations,close,6,3,ADJ
Number and Operations,clothing,1,1,NOUN
Number and Operations,club,1,1,NOUN
Number and Operations,cm,19,5,"NOUN, PROPN"
Number and Operations,cm2,1,1,NOUN
Number and Operations,cm3,2,1,NOUN
Number and Operations,cm3.The,1,1,PROPN
Number and Operations,cmeach,2,1,NOUN
Number and Operations,cmtom,2,1,NOUN
Number and Operations,cocktail,1,1,NOUN
Number and Operations,code,9,2,NOUN
Number and Operations,codes?you,1,1,NOUN
Number and Operations,coin,4,1,NOUN
Number and Operations,college,1,1,NOUN
Number and Operations,colour,3,2,NOUN
Number and Operations,coloured,1,1,ADJ
Number and Operations,combination,8,2,NOUN
Number and Operations,combine,2,1,VERB
Number and Operations,commission,2,1,NOUN
Number and Operations,common,38,1,ADJ
Number and Operations,company,8,5,NOUN
Number and Operations,compare,3,2,VERB
Number and Operations,competition,2,2,NOUN
Number and Operations,complete,18,4,"ADJ, VERB"
Number and Operations,compound,17,1,NOUN
Number and Operations,compoundinterest,2,1,ADJ
Number and Operations,computer,2,1,NOUN
Number and Operations,concert,1,1,NOUN
Number and Operations,cone,2,1,NOUN
Number and Operations,conference,1,1,NOUN
Number and Operations,consider,3,1,VERB
Number and Operations,consist,2,1,VERB
Number and Operations,constant,1,1,ADJ
Number and Operations,consumption,1,1,NOUN
Number and Operations,contain,9,4,VERB
Number and Operations,container,1,1,NOUN
Number and Operations,content,2,1,NOUN
Number and Operations,continue,1,1,VERB
Number and Operations,convert,8,1,VERB
Number and Operations,correct,93,7,"ADJ, VERB"
Number and Operations,correct?Tick,1,1,PROPN
Number and Operations,correct?explain,1,1,VERB
Number and Operations,correct?show,3,2,NOUN
Number and Operations,correctly,2,1,ADV
Number and Operations,cost,30,6,"NOUN, VERB"
Number and Operations,country,2,1,NOUN
