English Text Problem,Section Merged,Section,Topic
"The diagram shows triangle .

Calculate the length of .Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"Three identical small circles are drawn inside one large circle, as shown in the diagram.The centres of the small circles lie on the diameter of the large circle.

Find the fraction of the large circle that is shaded.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"The diagram shows two vertical posts,  and , on horizontal ground.

 = 1.7 m = 1.5 : 1
The angle of elevation of  from  is 52°.
Calculate the length of .Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"ABC and ACD are triangles.

Show that AC = 13.0 cm, correct to 3 significant figures.",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"There are 36 children in the village.
Find the total population of the village.
","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,ratio-problem-solving
" is a trapezium.



Calculate the length of .Give your answer correct to  significant figures.",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"Here is a diagram showing a rectangle, , and a circle.

 is a diameter of the circle.
Calculate the percentage of the area of the rectangle that is shaded.Give your answer correct to 1 decimal place.",Geometry and Measures,10-mensuration,area-and-perimeter
"The following formula is for the area, , of the curved surface area of a cone., where  is the radius and is the slant height of the cone.
Calculate the total surface area of a cone with radius 5cm and slant height 12cm.
................ cm2",Geometry and Measures,10-mensuration,volume-and-surface-area
"Axel and Lethna are driving along a motorway.
They see a road sign.The road sign shows the distance to Junction 8It also shows the average time drivers take to get to Junction 8



To Junction 830 miles26 minutes



The speed limit on the motorway is 70 mph.
Lethna says      ""We will have to drive faster than the speed limit to drive 30 miles in 26 minutes.""
Is Lethna right?You must show how you get your answer.",Geometry and Measures,10-mensuration,standard-and-compound-units
"There are 18500 gallons of fuel in a fuel tank.
The fuel is pumped from the fuel tank into a plane at a rate of 1700 litres per minute.
1 gallon = 4.5 litres.
How many minutes will it take to empty the fuel tank completely?Give your answer to the nearest minute.",Geometry and Measures,10-mensuration,standard-and-compound-units
"Circle the volume that is the same as 











",Geometry and Measures,10-mensuration,standard-and-compound-units
"






A box exerts a force of 140 newtons on a table.The pressure on the table is 35 newtons/m2.
Calculate the area of the box that is in contact with the table.

",Geometry and Measures,10-mensuration,standard-and-compound-units
"The diagram shows the plan of a small field.

Kevin is going to keep some pigs in the field.Each pig needs an area of 36 square metres.
Work out the greatest number of pigs Kevin can keep in the field.",Geometry and Measures,10-mensuration,area-and-perimeter
"The shape below is formed from two semicircles and a straight line.

The radius of the large semicircle is 8cm.The radius of the small semicircle is cm.
Find an expression, in terms of , for the exact perimeter of the shaded shape.
........................ cm",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"The diagram shows a circle with centre 

 and are points on the circle so that the length of the arc  is 5 cm.Given that angle  = 55°work out the area of the circle.Give your answer correct to one decimal place.
",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"Here are two rectangles.


The perimeter of  is 26 cm.The area of  is 45 cm2.
Find the length of .
...................................... cm",Geometry and Measures,10-mensuration,area-and-perimeter
"
 and  are points on a circle, centre . is a diameter of the circle.Angle Work out the circumference of the circle.Give your answer correct to 3 significant figures.
....................................................... cm 
",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"Work out the length of Give your answer correct to one decimal place.
.............................................. cm",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"A cuboid measures 6 cm by 8 cm by 15 cm.A cube has the same volume as the cuboid.Find the surface area of the cube, giving your answer correct to 3 significant figures.
.................................................... cm2",Geometry and Measures,10-mensuration,volume-and-surface-area
"Frank, Mary and Seth shared some sweets in the ratio 4 : 5 : 7Seth got 18 more sweets than Frank.
Work out the total number of sweets they shared.","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,ratio-toolkit
"Toothpaste is sold in three different sizes of tube.

A 50 ml tube costs £ 1.09A 75 ml tube costs £ 1.68A 125 ml tube costs £ 2.69
Which tube of toothpaste is the best value for money?You must show all your working.","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,exchange-rates-and-best-buys
Write down the value of sin 45°.,Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"is a right-angled triangle.

Calculate the length of .Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"On another map, Packer Street is 2.4cm long.
Express the scale of this map in the form 1 : .
1 : ..................",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"Here is a list of ingredients for making 18 mince pies.




Ingredients for mince pies
225 g   of butter350 g   of flour100 g    of sugar        280 g    of mincemeat1    egg





Elaine wants to make 45 mince pies.
Elaine has

1 kg of butterI kg of flour500 g of sugar
600 g of mincemeat6 eggs

Does Elaine have enough of each ingredient to make 45 mince pies?You must show clearly how you got your answer.","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,ratio-toolkit
"The shape, shown shaded in the diagram, is the region between two semicircles.

The diameter of the outer semicircle is .The shape has constant thickness .
Calculate the area of the shape.Give your answer as a multiple of .
              ",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"The scale 1 cm represents 25 m can be written in the form 1 : k.Find the value of k.
k = ........................................................
",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"The diagram shows the positions of three ships,  and .

Ship  is due north of ship .The bearing of ship from ship  is 120°Calculate the bearing of ship  from ship .Give your answer correct to the nearest degree.",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"Here is a map.The map shows two towns, Burford and Hightown.

A company is going to build a warehouse.
The warehouse will be less than 30 km from Burford and less than 50 km from Hightown.
Shade the region on the map where the company can build the warehouse.",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"Bottles of drink are for sale at three shops.
The normal price of a bottle is the same at each shop.

What is the cheapest way to buy exactly 8 bottles?
You can buy from more than one shop.
You must show your working.
","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,exchange-rates-and-best-buys
"Emma wants the ratio of the width of the photo to the height of the photo to be 3 : 2She reduces the number of pixels in the height of the photo.The width of the photo is still 720 pixels.
The ratio of the width of the photo to the new height of the photo is 3 : 2
Work out the new height of the photo.","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,ratio-toolkit
"Using ruler and compasses, show the region inside the grid that is
less than 4 cm from Aandnearer to B than to C.
Label the region R.Show all your construction lines.

",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"The diagram shows a logo made from three circles.

Each circle has centre .Daisy says that exactly  of the logo is shaded.Is Daisy correct?You must show all your working.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"The diagram shows a container for grain.

The container is a cylinder on top of a cone.The cylinder has a radius of 3 m and a height of m.The cone has a base radius of 3 m and a vertical height of 4 m.
The container is empty.The container is then filled with grain at a constant rate.
After 5 hours the depth of the grain is 6 metres above the vertex of the cone.After 9 hours the container is full of grain.
Work out the value of .Give your answer as a fraction in its simplest form.You must show all your working.",Geometry and Measures,10-mensuration,volume-and-surface-area
"The diagram shows the plan of a playground.

Bill is going to cover the playground with tarmac.It costs £2.56 to cover each square metre with tarmac.
Work out the total cost of the tarmac Bill needs.",Geometry and Measures,10-mensuration,area-and-perimeter
"The diagram shows a solid metal cylinder.

The cylinder has base radius  and height .
The cylinder is melted down and made into a sphere of radius .
Find an expression for  in terms of .",Geometry and Measures,10-mensuration,volume-and-surface-area
Calculate the angle the stick makes with the base of the crate.,Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"A sculptor needs to lift a piece of marble.It is a cuboid with dimensions 1m by 0.5m by 0.2m.Marble has a density of 2.7g/cm3.The sculptor’s lifting gear can lift a maximum load of 300kg.
Can the lifting gear be used to lift the marble?Justify your decision.",Geometry and Measures,10-mensuration,volume-and-surface-area
"In the diagram,  is a right-angled triangle and  is a semicircular arc.

In triangle 




 




The points  and  lie on  so that  is the diameter of the semicircular arc The radius of the semicircular arc is 3cm.Work out the length of Give your answer correct to 2 significant figures.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"is an isosceles triangle.

Work out the area of the triangle.Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"Milk is sold in two sizes of bottle.

A 4 pint bottle of milk costs £1.18A 6 pint bottle of milk costs £1.74
Which bottle of milk is the best value for money?You must show all your working.","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,exchange-rates-and-best-buys
" is five times bigger than .
Circle the ratio 



10 : 1
1 : 10
5 : 2
2 : 5



","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,ratio-toolkit
"Here is a triangle 

The length  and the angles  and are each given correct to 2 significant figures.Calculate the upper bound for the length .Give your answer correct to one decimal place.Show your working clearly.
....................................................... cm",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"The volume of the table top is 17 150 cm3.Calculate the thickness of the table top.
........................ cm",Geometry and Measures,10-mensuration,volume-and-surface-area
"
Calculate the value of .Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"Calculate the volume of a sphere with radius 6cm.

[The volume  of a sphere with radius is . ]
...................... cm3",Geometry and Measures,10-mensuration,volume-and-surface-area
" The diagram shows a pyramid with a square base ABCD.DB = 8 cm.P is vertically above the centre, X, of the base and PX = 5 cm.Calculate the angle between PB and the base ABCD.
",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"The assumption about the rate of flow of the oil could be wrong.
Explain how this could affect your answer to part (a).",Geometry and Measures,10-mensuration,volume-and-surface-area
"ADB and BCD are right-angled triangles.BC = CD.
Angle BAD = 30°.


Work out the length of BC.
...........................mm",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"
 and  are straight lines.Angle  = Angle 

Work out the area of the trapezium .",Geometry and Measures,10-mensuration,area-and-perimeter
"The diagram shows a vertical cliff with a vertical radio mast on top of the cliff and a buoy in the sea.

The height of the cliff is 100 metres.The buoy is at the point  that is metres from the base of the cliff.The angle of elevation from  to the top of the cliff is 20°
Calculate the value of .Give your answer correct to 3 significant figures.
 .....................................................",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"The diagram shows a cylinder and a sphere.

The cylinder has radius 12cm and height 30cm.The cylinder and the sphere have the same volume.
Work out the radius  cm of the sphere.
[The volume  of a sphere with radius  is .]
....................... cm",Geometry and Measures,10-mensuration,volume-and-surface-area
"
 is a square with a side length of  is the midpoint of . is the point on  where 
 is a right-angled triangle.
Find an expression, in terms of , for the area of triangle .Give your expression in its simplest form.",Geometry and Measures,10-mensuration,area-and-perimeter
"Hector tries to run 5 kilometres in less than 14 minutes.
Give one reason why he might not achieve this.",Geometry and Measures,10-mensuration,standard-and-compound-units
" and  are triangles.

The area of is 80.5 cm2Work out the area of .Give your answer to 3 significant figures.
...............................cm2",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"Calculate angle ACB in this triangle.

",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"The diagram shows a trapezium.

Work out the value of Give your answer correct to  decimal place.
",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"The scale drawing shows the position of a hall and the position of a library.




Scale:  represents 




A post box is  from the library on a bearing of 
Show the position of the post box on the scale drawing.Mark the position with a cross  and label it ",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"A solid is made by putting a hemisphere on top of a cone.

The total height of the solid is The radius of the base of the cone is The radius of the hemisphere is 

A cylinder has the same volume as the solid.The cylinder has radius  and height All measurements are in centimetres.
Find a formula for  in terms of Give your answer in its simplest form.",Geometry and Measures,10-mensuration,volume-and-surface-area
"
The diagram shows a pyramid with a square base ABCD of side length 8cm.The diagonals of the square, AC and BD, intersect at M.V is vertically above M and VM = 10 cm. Calculate the angle between VA and the base.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"The diagram shows a ladder leaning against a vertical wall.

The ladder stands on horizontal ground.
The length of the ladder is 6 m.The bottom of the ladder is 2.25 m from the bottom of the wall.
A ladder is safe to use when the angle marked  is about 75°.
Is the ladder safe to use?You must show all your working.",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"The diagram shows a circle inside a square.

 is a square of side 10cm.Each side of the square is a tangent to the circle.
Work out the total area of the shaded regions in terms of .Give your answer in its simplest form.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"
ABCDEFGH is a cuboid.AB = 8 cm, BC = 5 cm and CG = 11 cm. Ivana has a pencil of length 13cm.
Does this pencil fit completely inside the cuboid?Show how you decide.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
" The diagram shows a cuboid .The angle between the line  and the base  of the cuboid is .Calculate .
 ........................................... cm ",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"Rectangle  is the horizontal base of a triangular prism 

 is vertically above M, the midpoint of .
 cm    cm     cm

Show that  cm",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"Here is a circle.

The diameter of the circle is 9 cm.
Work out the circumference of this circle.Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"During a game, players can win and lose counters.
At the start of the game   Rob, Tim and Zak share the counters in the ratio 5 : 6 : 7
At the end of the game   Rob, Tim and Zak share the same number of counters in the ratio 7 : 9 : 8
Show that Rob ends the game with more counters than he started with.","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,ratio-toolkit
"
 and  are straight lines. is parallel to .
Angle 
 is the midpoint of .
Work out the area of trapezium .",Geometry and Measures,10-mensuration,area-and-perimeter
"A rocket travelled  at an average speed of 
Work out how long it took the rocket to travel the Give your answer in seconds, correct to the nearest second.
...................................... seconds",Geometry and Measures,10-mensuration,standard-and-compound-units
Work out the total surface area of the pyramid.,Geometry and Measures,10-mensuration,volume-and-surface-area
"The point A is shown on the unit grid below.The point B is  units from A and lies on the intersection of two grid lines.Mark one possible position for B.

",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"Frances grows plants in a container.Each of the 5 faces of the container is made of glass.

The container is in the shape of a prism.The cross section of the prism is an isosceles triangle with height .

Work out the total area of glass needed to make the container.",Geometry and Measures,10-mensuration,volume-and-surface-area
"Four of the points are moved, as shown in the diagram below.

Hasmeet walks once round the circle again.
Has the mean distance that Hasmeet walks between one point and the next point changed?You must give a reason for your answer.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"Here is a plan of Martin's driveway.

Martin is going to cover his driveway with gravel.The gravel will be 6 cm deep.
Gravel is sold in bags.There are 0.4 m3 of gravel in each bag.Each bag of gravel costs £38
Martin gets a discount of 30% off the cost of the gravel.
Work out the total amount of money Martin pays for the gravel.",Geometry and Measures,10-mensuration,volume-and-surface-area
"The distance from Fulbeck to Ganby is 10 miles.The distance from Ganby to Horton is 18 miles.

Raksha is going to drive from Fulbeck to Ganby.Then she will drive from Ganby to Horton.
Raksha leaves Fulbeck at 10 00She drives from Fulbeck to Ganby at an average speed of 40 mph.

Raksha wants to get to Horton at 10 35Work out the average speed Raksha must drive at from Ganby to Horton.",Geometry and Measures,10-mensuration,standard-and-compound-units
"The diagram shows a logo.
 and  are congruent triangles. is a sector of a circle, centre .

Show that the area of the logo is 510 cm2 to 2 significant figures.",Geometry and Measures,10-mensuration,area-and-perimeter
"A, B, C and D are four towns.
B is 25 kilometres due East of A.C is 25 kilometres due North of A.D is 45 kilometres due South of A.

Work out the bearing of B from C.",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"Jon shares £700 equally between his two children, Ellie and Maddie.
Ellie gives £125 of her share of the money to Maddie.
Write down the ratio of the amount of money Ellie now has to the amount of money Maddie now has.","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,ratio-toolkit
"is a solid pyramid.

is a square of side 20 cm.
The angle between any sloping edge and the plane is 55°
Calculate the surface area of the pyramid.Give your answer correct to 2 significant figures.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"
 and  are 3 service stations on a motorway.
 = 25 miles = 25 miles
Aysha drives along the motorway from  to 
Aysha drives at an average speed of 50 mph from  to .She drives at an average speed of 60 mph from  to .
Work out the difference in the time Aysha takes to drive from  to  and the time Aysha takes to drive from to .Give your answer in minutes.",Geometry and Measures,10-mensuration,standard-and-compound-units
"The diagram shows a solid cone.

The diameter of the base of the cone is 24 cm.The height of the cone is 16 cm.
The curved surface area of the cone is 2160 cm2.The volume of the cone is  cm3, where  is an integer.
Find the value of .",Geometry and Measures,10-mensuration,volume-and-surface-area
"A circle has a diameter of 140 cm.
Work out the circumference of the circle.Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"The bearing of a ship from a lighthouse is .
Work out the bearing of the lighthouse from the ship.",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"The diagram shows isosceles triangle 


             Calculate the area of triangle 

...................................................... cm2",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"Here is a triangle.

Work out the length 
.................cm",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"Here is a tunnel for a toy train.

The diagram below shows the cross section of the tunnel.

 is a semicircular arc of radius 10 cm is a semicircular arc of radius 7 cmThe length of the tunnel is 30 cm
Work out the total area of all six faces of the tunnel.Give your answer in terms of .
....................cm2",Geometry and Measures,10-mensuration,volume-and-surface-area
"The diagram shows the prism  with cross section triangle .

Angle = 40° and angle is obtuse. = 6 cm and = 13cmThe area of triangle is 22 Calculate the length of .Give your answer correct to one decimal place.
..................",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"Here is a hexagon .

 is parallel to .Work out the area of hexagon .
.......................................  ",Geometry and Measures,10-mensuration,area-and-perimeter
"The diagram shows the positions of three points,  and  on a map.

The bearing of  from  is .Angle  is .
Work out the bearing of  from .",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"An ornament is made from a solid glass square-based pyramid.The base has side length 15cm.A hemisphere with radius 6cm is cut out of the base of the pyramid.This reduces the volume of glass contained in the ornament by 30%.

Calculate the perpendicular height of the pyramid.
[The volume of a pyramid is area of base  perpendicular height.
A hemisphere is half a sphere.]
....................... cm
",Geometry and Measures,10-mensuration,volume-and-surface-area
"The diagram shows a rectangle  and a semicircle with diameter  where . The point  lies on and also on the semicircle.

Work out the area of the shaded region.Give your answer correct to 3 significant figures.
...................................................... ",Geometry and Measures,10-mensuration,area-and-perimeter
" and  are points on a circle with centre .

 is a diameter of the circle.Angle Work out the total area of the regions shown shaded in the diagram.Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,area-and-perimeter
"
Find the pressure exerted by a force of 810 newtons on an area of 120 Give your answer in 
...........................",Geometry and Measures,10-mensuration,standard-and-compound-units
"Use ruler and compasses to bisect the angle at .You must show all your construction lines.
",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"The diagram shows a triangular prism.

 and.Angle = angle  = angle Work out the size of the angle between the line  and the plane .Give your answer correct to 1 decimal place.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"Here is the floor plan of a rectangular room.

Tim buys carpet tiles for this room.
Each tile is a square measuring 50cm by 50cm.The tiles are only sold in packs of ten.Each pack costs £20.Tim pays for fitting at a rate of £7.50 per square metre, with any fraction of a square metre rounded up.
Work out the total cost of the tiles and fitting.
£ .......................",Geometry and Measures,10-mensuration,area-and-perimeter
"The diagram shows a pyramid.

is a square with sides of length 10 cm.The other faces of the pyramid are equilateral triangles with sides of length 10 cm.
Calculate the volume of the pyramid.Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"Circle the volume, in cm3 , of a cylinder with radius 5 cm and height 8 cm.










",Geometry and Measures,10-mensuration,volume-and-surface-area
"The diagram shows a triangle.

In the diagram, all the measurements are in metres.
The perimeter of the triangle is 56 m.The area of the triangle is A m2.
Work out the value of A.",Geometry and Measures,10-mensuration,area-and-perimeter
"AOB is a sector of a circle, centre O and radius 6cm.The length of arc AB is cm.

Find the area of the sector.Give your answer in terms of .
......................... cm2",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"The diagram shows the plan of a floor.

Angie is going to varnish the floor.
She needs 1 litre of varnish for 5m2 of floor.There are 2.5 litres of varnish in each tin of varnish.
Angie has 3 tins of varnish.
Does she have enough varnish for all the floor?You must show all your working.",Geometry and Measures,10-mensuration,area-and-perimeter
"The diagram shows a quadrilateral .


Calculate the length of Give your answer correct to  significant figures.",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"
 is a sector of a circle, centre .The radius of the circle is 15 cm.The angle of the sector is .
Calculate the area of sector .Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
" is a trapezium.

Work out the size of angle .Give your answer correct to 1 decimal place.",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
" is an isosceles triangle in a horizontal plane.The point  is vertically above .

Angle  is the midpoint of .
Calculate the size of the angle between  and the horizontal plane .Give your answer correct to one decimal place.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"Mariana sells bags of bird food.The bags that Mariana sold last week each contained 12kg of seeds.The bags that she is going to sell next week will each contain a mixture of nuts and seeds where for each bag
weight of nuts : weight of seeds = 4 : 5
The total weight of the nuts and the seeds in each bag will be 19.35 kgThe weight of seeds in each bag that Mariana sells next week will be less than the weight of seeds in each bag that Mariana sold last week.Work out this decrease as a percentage of the weight of seeds in each bag that Mariana sold last week.Give your answer correct to one decimal place.
....................................................... % ","Ratio, Proportion, and Rates of Change",3-ratio-proportion-and-rates-of-change,ratio-toolkit
"Work out the total length of the wire in the earring.
Give your answer in the form  where  and  are integers.
...............................mm",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"The diagram shows a triangular prism  with a horizontal base .

                  Calculate the size of the angle between  and the base .Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"The bearing of Paris from London is 149°.
Work out the bearing of London from Paris.",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"The diagram shows a solid prism .


The trapezium , in which  is parallel to , is a cross section of the prism.The base  of the prism is a horizontal plane. and  are rectangles.The midpoint of  is vertically above the midpoint of  so that .
       
The perpendicular distance between edges  and  is 20 .
Calculate the size of the angle between  and the plane .Give your answer correct to one decimal place.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"
Given that sin30° = 0.5,work out the value of .",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"Sketch the graph of  .
Show clearly the coordinates of any turning points and the value of the -intercept.

",Graphs and Equations,7-graphs-of-equations-and-functions,graphs-of-functions
"Manchester airport is on a bearing of  from a London airport.
Find the bearing of the London airport from Manchester airport.",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"Here is a triangle.

Circle the correct equation.













",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"The diagram shows a triangular prism.

The base, , of the prism is a square of side length 15 cm.Angle and angle are right angles.Angle = 35°
is the point on such that

Calculate the size of the angle between and the base of the prism.Give your answer correct to 1 decimal place.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"The diagram shows parallelogram .


Work out the area of the parallelogram.Give your answer correct to 3 significant figures.
.......................

",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"The diagram shows a right-angled triangular prism ABCDEF.

Calculate angle AFB.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"The diagram shows cuboid 

For this cuboid
the length of  : the length of  : the length of  = 4 : 2 : 3
Calculate the size of the angle between  and the plane .Give your answer correct to one decimal place.",Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
"The diagram shows the positions of three towns, Acton (), Barston () and Chorlton ().

Barston is 8 km from Acton on a bearing of .Chorlton is 9km from Barston on a bearing of .
Find the bearing of Chorlton from Acton.Give your answer correct to 1 decimal place.You must show all your working.",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"The perimeter of a right-angled triangle is 72 cm.The lengths of its sides are in the ratio 3 : 4 : 5.
Work out the area of the triangle.",Geometry and Measures,10-mensuration,area-and-perimeter
"The diagram shows the floor of a village hall.

The caretaker needs to polish the floor.
One tin of polish normally costs £19One tin of polish covers 12 m2 of floor.
There is a discount of 30% off the cost of the polish.
The caretaker has £130
Has the caretaker got enough money to buy the polish for the floor?You must show all your working.",Geometry and Measures,10-mensuration,area-and-perimeter
Find the size of angle .,Geometry and Measures,10-mensuration,3d-pythagoras-and-trigonometry
" and  are ships.
 is a port.
 is due South of .Angle 

Work out the bearing of  from .",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"Here are a circle and a sector of the circle.
They each have radius .

circumference of circle = perimeter of sector
Work out the size of angle .
Give your answer in terms of .
...................................degrees",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"Rectangle  is split into four smaller rectangles.Two of the smaller rectangles are shaded.


For rectangle , work out the ratio shaded area : unshaded area
Give your answer in its simplest form.",Geometry and Measures,10-mensuration,area-and-perimeter
"The cross section of an earring is a semicircle, centre , radius 25 mmThe earring is black and white.
The shaded area is black.

Sector  is white and has radius 12 mm

Is more than 20% of the semicircle white?
You must show your working.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"A frustum is made by removing a small cone from a large cone.The cones are mathematically similar.

The large cone has base radius  cm and height  cm.Given that

find an expression, in terms of , for the height of the frustum.



....................................................... cm",Geometry and Measures,10-mensuration,volume-and-surface-area
A circle has circumference  and diameter .   What value does the constant  represent?,Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"The diagram shows the positions of a lighthouse , a yacht  and a tanker  on a map.

Scale 1 cm represents 10 km
Measure the bearing of  from .",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"OAB is a sector of a circle, centre O.
OA = 6 cm and AX is perpendicular to OB.

The area of sector OAB is 6cm2.Show that AX = 3  cm.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"Simplify   
Give your answer in the form   where  and  are integers.",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"Here is a triangle .

The perimeter of the triangle is .
Given that find the value of .Show your working clearly.
                ",Geometry and Measures,10-mensuration,sine-cosine-rule-and-area-of-triangles
"The diagram shows a circle drawn inside a square.

The circle has a radius of 6 cm.The square has a side of length 12 cm.
Work out the shaded area.Give your answer in terms of .",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"Construct the perpendicular bisector of BC.
Show all your construction lines.",Geometry and Measures,10-mensuration,bearings-scale-drawing-constructions-and-loci
"The diagram shows a sector of a circle with radius 7 cm.

Work out the length of the arc of the sector.Give your answer correct to one decimal place.
....................................................... cm",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"
 is a sector of a circle, centre . is a sector of a circle, centre . and  are straight lines.
Angle 
Calculate the perimeter of the shaded region.Give your answer correct to 3 significant figures.",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
"Two identical quarter circles are cut from a rectangle as shown.

Work out the shaded area.
..........................cm2",Geometry and Measures,10-mensuration,circles-arcs-and-sectors
Write down the exact value of cos30°,Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
"The diagram shows a right-angled triangle.

Calculate the value ofGive your answer correct to one decimal place.
............................................",Geometry and Measures,10-mensuration,right-angled-triangles---pythagoras-and-trigonometry
